AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,REG_FEE,COMMIS,SALES_PRICE,NULL
Karapakkam,940,167,1,1,3,No,263599,64435,5857750,1
KK Nagar,1667,126,2,1,4,Yes,364810,268243,10729700,1
KK Nagar,1926,49,3,2,5,Yes,816325,153061,17006780,1
Adyar,718,75,1,1,2,Yes,211662,55701,5570050,1
Karapakkam,545,154,1,1,2,No,165738,88651,3854375,1
Karapakkam,1249,25,1,1,3,Yes,318010,120328,8594875,1
T Nagar,1894,187,2,1,5,Yes,406478,162591,13549250,1
Karapakkam,1469,200,2,2,4,No,284423,132731,9480750,1
Adyar,916,32,1,1,3,Yes,228053,23390,5847520,1
Chrompet,934,11,1,1,3,Yes,310749,58265,9710900,1
Karapakkam,1691,100,2,2,4,No,319558,178576,9398750,1
Karapakkam,1236,36,1,1,3,No,334638,114481,8806250,1
T Nagar,1577,23,1,1,4,Yes,302183,193397,12087330,1
Anna Nagar,1915,13,2,1,5,Yes,354391,170107,14175620,1
Anna Nagar,1600,154,1,1,4,Yes,309941,166891,11920820,1
Velachery,1579,58,2,1,4,Yes,467766,240565,13364730,1
Adyar,1260,89,2,2,4,No,256150,34615,6922975,1
Adyar,1021,176,1,1,3,No,361868,175098,11673175,1
KK Nagar,2174,48,3,2,5,Yes,548929,313674,13069740,1
Anna Nagar,1589,39,1,,4,No,451857,85486,12212350,1
Adyar,668,177,1,1,2,Yes,329074,102836,10283575,1
Velachery,1724,116,2,1,4,Yes,358259,152260,8956480,1
Adyar,890,116,1,1,3,Yes,251557,43124,7187350,1
Adyar,1218,51,2,2,4,No,377246,138323,12574850,1
Anna Nagar,1792,41,1,1,4,Yes,514532,250313,13906270,1
Karapakkam,1378,192,2,2,4,No,297525,208268,9917500,1
Karapakkam,898,72,1,1,3,Yes,345190,215744,8629750,1
Anna Nagar,1928,148,2,1,5,No,466682,105003,11667050,1
Chrompet,1233,24,2,1,4,No,245429,107989,9817150,1
Velachery,1618,100,2,1,4,Yes,370522,92631,9263050,1
Karapakkam,627,49,1,1,2,No,223975,92225,6587500,1
Velachery,1563,43,2,1,4,No,303780,195987,9799360,1
Karapakkam,1693,187,2,2,4,Yes,384045,166420,12801500,1
T Nagar,1522,85,1,1,4,No,506181,174545,17454510,1
Adyar,1090,171,1,1,3,Yes,373632,98324,9832420,1
Chrompet,1085,149,1,1,3,Yes,387815,100545,14363500,1
T Nagar,1687,73,1,1,4,No,411733,224582,12476770,1
Adyar,692,62,1,1,2,Yes,394491,124576,10381355,1
T Nagar,1518,145,1,1,4,Yes,457606,158402,17600240,1
Adyar,1025,125,1,1,3,No,349916,142153,10934875,1
KK Nagar,2170,121,3,2,5,Yes,593864,284560,12372160,1
Chrompet,969,70,1,1,3,Yes,337463,146234,11248750,1
KK Nagar,1546,129,2,1,4,No,441475,142411,14241140,1
KK Nagar,1709,6,2,1,4,Yes,467388,233694,10160600,1
T Nagar,1659,103,1,1,4,Yes,433251,216625,13539080,1
Chrompet,755,8,1,1,2,No,289649,42911,10727750,1
Adyar,1182,50,1,1,3,Yes,374948,39468,9867055,1
Adyar,735,67,1,1,2,No,284361,132702,9478710,1
Chrompet,1089,0,1,1,3,Yes,235305,45251,9050200,1
Velachery,1534,6,2,1,4,Yes,284552,63234,7904210,1
Anna Nagar,1622,147,1,1,4,Yes,378840,209015,13063450,1
KK Nagar,2198,71,3,2,5,Yes,679249,122265,13584980,1
Chrompet,1293,34,2,1,4,No,419714,157393,13116050,1
KK Nagar,1641,178,2,1,4,No,460580,190239,10012600,1
Velachery,1950,185,3,2,5,Yes,411601,84741,12105920,1
Karapakkam,1245,106,1,1,3,No,201653,113123,4918375,1
Chrompet,905,144,1,1,3,No,223393,77032,7703200,1
KK Nagar,1496,135,2,1,4,No,265641,137105,8569080,1
Velachery,1892,38,3,2,5,Yes,449425,133613,12146620,1
Velachery,1517,40,2,1,4,No,408507,116716,11671620,1
Adyar,1034,73,1,1,3,Yes,277702,46284,9256740,1
Velachery,1755,142,2,1,4,Yes,581720,193907,14915900,1
Anna Nagar,1622,79,1,1,4,Yes,406434,243860,13547790,1
Chrompet,1092,89,1,1,3,No,246391,57491,8213040,1
Chrompet,821,34,1,1,3,No,182600,65736,7304000,1
KK Nagar,1694,72,2,1,4,No,353291,114300,10390900,1
Anna Nagar,1809,177,2,1,5,No,518585,230482,19206870,1
Karapakkam,1401,20,2,2,4,Yes,438477,229204,9965375,1
Karapakkam,1470,99,2,2,4,No,302694,172968,7207000,1
Chrompet,798,166,1,1,2,No,253975,145129,9070550,1
Chrompet,764,137,1,1,2,No,158766,90723,5670200,1
Chrompet,1135,50,1,1,3,No,296102,148051,9253200,1
Karapakkam,939,74,1,1,3,No,214700,38646,4294000,1
Karapakkam,1586,59,2,2,4,Yes,586956,200424,14316000,1
T Nagar,1973,63,2,1,5,Yes,885666,116535,23307000,1
Chrompet,1023,44,1,1,3,Yes,282319,38941,9735150,1
Chrompet,884,75,1,1,3,No,283410,45346,11336400,1
Anna Nagar,1640,113,1,1,4,No,495645,194718,17701600,1
Adyar,622,60,1,1,2,No,216906,72302,6572900,1
Anna Nagar,1880,90,2,1,5,Yes,483229,214768,13423020,1
KK Nagar,2413,166,4,2,6,No,419905,170587,13122040,1
T Nagar,1649,169,1,1,4,No,681808,113635,18939100,1
Velachery,1729,144,2,1,4,Yes,396911,128036,12803570,1
T Nagar,1942,10,2,1,5,No,320599,61654,12330740,1
Chrompet,711,116,1,1,2,Yes,249558,64402,8050270,1
Chrompet,885,122,1,1,3,No,237422,107919,7194600,1
KK Nagar,1688,148,2,1,4,Yes,547810,285318,11412700,1
Adyar,1236,108,2,2,4,No,481414,24071,12035355,1
Karapakkam,926,98,1,1,3,No,288834,68770,6877000,1
KK Nagar,1686,57,2,1,4,No,382817,196582,10346400,1
Karapakkam,1344,129,2,2,4,No,453999,259428,10809500,1
KK Nagar,1437,104,2,1,4,No,489629,102006,10200600,1
Karapakkam,1430,17,2,2,4,Yes,238887,106172,6635750,1
Adyar,1081,85,1,1,3,No,241416,6190,6190150,1
Karapakkam,1352,1,2,2,4,Yes,240768,123638,6507250,1
KK Nagar,1986,109,3,2,5,No,476717,227008,11350400,1
Anna Nagar,1758,164,1,1,4,Yes,713565,231426,19285540,1
Karapakkam,607,121,1,1,2,No,175699,117133,5856625,1
KK Nagar,2139,136,3,2,5,Yes,424048,249440,12472000,1
KK Nagar,1488,97,2,1,4,No,405211,202606,8441900,1
Velachery,1645,96,2,1,4,No,250118,75793,7579320,1
Chrompet,950,177,1,1,3,Yes,273252,146385,9759000,1
Chrompet,928,90,1,1,3,Yes,409985,62119,12423800,1
Velachery,1693,145,2,1,4,Yes,604335,108470,15495760,1
Velachery,1873,0,3,2,5,Yes,363735,198401,11022270,1
Adyar,721,145,1,1,2,No,273800,60844,7605550,1
Karapakkam,1190,37,1,1,3,Yes,342613,127484,7967750,1
KK Nagar,1593,9,2,1,4,No,402606,223670,8946800,1
Chrompet,786,181,1,1,2,Yes,249610,83203,9244820,1
Chrompet,1195,93,1,1,3,No,265183,29465,9821600,1
Velachery,1824,187,3,2,5,No,273570,76942,8549060,1
KK Nagar,1906,81,3,2,5,Yes,792637,206086,15852740,1
Adyar,656,20,1,1,2,No,280244,113849,8757635,1
Chrompet,727,84,1,1,2,No,218816,100992,8415990,1
Adyar,931,37,1,1,3,Yes,367617,19871,9935595,1
Velachery,1898,108,3,2,5,Yes,581625,332357,16617860,1
Anna Nagar,1698,15,1,1,4,No,359949,198593,12412050,1
T Nagar,1926,193,2,1,5,Yes,633655,203675,22630540,1
Karapakkam,1481,144,2,2,4,Yes,485174,178227,9901500,1
Anna Nagar,1506,122,1,1,4,No,417996,177648,10449910,1
Chrompet,1020,95,1,1,3,No,206664,31794,7948600,1
Chrompet,889,196,1,1,3,No,300256,136480,9098680,1
Chrompet,1015,147,1,1,3,Yes,275314,66743,8342850,1
T Nagar,1682,78,1,1,4,No,690507,111974,18662350,1
Chrompt,869,39,1,1,3,No,220661,138935,8172630,1
Karapakkam,1445,20,2,2,4,No,216691,87848,5856500,1
Anna Nagar,1919,178,2,1,5,Yes,544054,117633,14704160,1
Adyar,1243,141,2,2,4,Yes,440895,26721,13360440,1
Karapakkam,857,158,1,1,2,No,236556,59139,4928250,1
Karapakkam,1055,174,1,1,3,Yes,226769,117042,7315125,1
KK Nagar,1778,94,3,2,5,No,340948,153976,10998320,1
Karapakkam,851,124,1,1,2,No,181073,39364,3936375,1
Chrompet,1021,82,1,1,3,Yes,276053,147228,9201770,1
KK Nagar,2203,76,3,2,5,Yes,572520,339934,17891240,1
Karapakkam,613,81,1,1,2,No,195491,66879,5144500,1
Adyar,738,69,1,1,2,No,324194,8313,8312670,1
Karapakkam,1489,177,2,2,4,No,384348,200181,8007250,1
Karapakkam,795,73,1,1,2,Yes,254378,127189,8479250,1
Velachery,1909,11,3,2,5,Yes,303875,212712,10129160,1
Chrompet,1252,190,2,1,4,No,265502,47411,9482200,1
Karapakkam,1077,144,1,1,3,No,305249,246169,9846750,1
KK Nagar,1524,73,2,1,4,No,303654,208220,8675820,1
Chrompet,1049,36,1,1,3,Yes,328398,133412,10262450,1
Velachery,1780,194,2,1,4,No,329500,130066,8671050,1
Chrompet,946,14,1,1,3,No,368463,111656,11165550,1
Chrompet,906,116,1,1,3,Yes,302874,28394,9464800,1
KK Nagar,2344,71,4,2,6,No,622046,471247,18849880,1
Adyar,929,76,1,1,3,Yes,341295,75843,9480425,1
Anna Nagar,1843,158,2,1,5,No,318884,147177,12264750,1
Anna Nagar,1918,187,2,1,5,Yes,809377,218751,21875050,1
KK Nagar,1507,54,2,1,4,Yes,636313,243694,13538580,1
KK Nagar,1499,89,2,1,4,No,372805,186403,8876320,1
KK Nagar,1526,64,2,1,4,Yes,518512,327481,13645040,1
Anna Nagar,1855,82,2,1,5,Yes,839848,188966,20996200,1
Karapakkam,1627,39,2,2,4,Yes,308418,99782,9071125,1
Velachery,1846,28,3,2,5,No,378554,129790,10815830,1
KK Nagar,2019,65,3,2,5,Yes,601718,230445,12802500,1
Karapakkam,1578,153,2,2,4,Yes,295508,238313,9532500,1
Velachery,1780,115,2,1,4,Yes,453788,173507,13346700,1
Karapakkam,662,148,1,1,2,No,143765,65348,4356500,1
Chrompet,1005,17,1,1,3,No,355456,183857,12257100,1
Karapakkam,839,102,1,1,2,No,192724,49206,4100500,1
Anna Nagar,1698,76,1,1,4,No,403460,80692,11527430,1
Adyar,878,16,1,1,3,Yes,225847,6453,6452785,1
Chrompet,835,77,1,1,3,Yes,227738,33739,8434750,1
Chrompet,911,84,1,1,3,Yes,245118,37139,7427820,1
Velachery,1796,176,2,1,4,Yes,318687,118370,9105350,1
Karapakkam,1004,182,1,1,3,No,193582,75544,4721500,1
Anna Nagar,1694,86,1,1,4,No,377250,213775,12575010,1
Karapakkam,1244,50,1,1,3,Yes,246535,143150,7952750,1
Karapakkam,588,163,1,1,2,No,228220,57055,5705500,1
KK Nagar,2342,69,4,2,6,Yes,567545,180582,12898740,1
Velachery,1835,88,3,2,5,No,418181,182284,10722580,1
Anna Nagar,1977,84,2,1,5,Yes,423089,211544,14102960,1
KK Nagar,1961,104,3,2,5,Yes,792581,387484,17612900,1
Velachery,1517,82,2,1,4,Yes,257288,85763,7146890,1
KK Nagar,2409,103,4,2,6,Yes,606442,242577,13476480,1
Velachery,1864,187,3,2,5,No,528520,181207,15100560,1
Velachery,1643,52,2,1,4,Yes,577164,249584,15599020,1
Adyar,1015,76,1,1,3,Yes,370412,112246,11224620,1
Anna Nagar,1700,135,1,1,4,Yes,424219,174679,12477040,1
Karapakkam,624,34,1,1,2,No,202228,92321,4396250,1
Chrompet,980,84,1,1,3,No,380824,130908,11900750,1
Karapakkam,1003,196,1,1,3,Yes,373330,161440,10090000,1
Adyar,1072,66,1,1,3,Yes,264308,33038,6607690,1
Karapakkam,808,119,1,1,2,No,161577,90293,4752250,1
Chrompet,1027,131,1,1,3,No,215799,44648,7441350,1
Karapakkam,696,84,1,1,2,No,212561,77295,6441250,1
Velachery,1716,86,2,1,4,Yes,414394,155398,10359860,1
Velachery,1878,18,3,2,5,No,573149,257917,14328720,1
KK Nagar,1699,98,2,1,4,Yes,457764,125885,11444100,1
KK Nagar,1626,188,2,1,4,No,348490,135524,9680280,1
KK Nagar,1730,200,2,1,4,No,589574,235830,14739360,1
Chrompet,996,78,1,1,3,No,295007,151974,8939620,1
Chrmpet,1277,111,2,1,4,Yes,518443,47131,15710400,1
Chrompet,906,64,1,1,3,No,327251,30680,10226600,1
Anna Nagar,1976,112,2,1,5,No,369002,110700,12300050,1
Velachery,1776,120,2,1,4,Yes,319653,89903,9989170,1
Karapakkam,1402,112,2,2,4,No,257761,111464,6966500,1
Chrompet,1160,138,1,1,3,Yes,255525,104103,9463900,1
Velachery,1957,134,3,2,5,Yes,547180,243191,15199450,1
T Nagar,1887,48,2,1,5,No,573985,348491,20499450,1
Velachery,1859,142,3,2,5,Yes,297756,138953,9925210,1
Chrompet,747,168,1,1,2,Yes,336707,157130,11223550,1
Adyar,985,159,1,1,3,Yes,265662,44277,7379505,1
Chrompet,1024,77,1,1,3,Yes,302285,108823,12091400,1
Velachery,1600,148,2,1,4,Yes,315906,94772,10530200,1
Chrompet,1276,141,2,1,4,No,316936,163270,9604120,1
Chrompet,1159,90,1,1,3,Yes,253758,108754,9062800,1
Karapakkam,1024,142,1,1,3,Yes,166198,94970,4748500,1
Adyar,1249,93,2,2,4,No,417195,176992,12642285,1
Chrompet,839,175,1,1,3,Yes,255008,72859,9107430,1
Chrompet,1286,105,2,1,4,No,292906,118993,9153300,1
KK Nagar,2467,69,4,2,6,No,581942,139160,12650920,1
Karapakkam,653,121,1,1,2,No,297775,160340,7635250,1
Karapakkam,606,4,1,1,2,Yes,353430,117810,7854000,1
T Nagar,1837,81,2,1,5,Yes,488298,105578,13197230,1
Velachery,1880,95,3,2,5,Yes,437429,109357,13669670,1
KK Nagar,2189,1,3,2,5,Yes,547496,456247,18249860,1
Velachery,1853,123,3,2,5,Yes,588293,279439,14707330,1
Chrompet,1057,200,1,1,3,No,228621,27435,9144840,1
Adyar,723,49,1,1,2,No,329098,142609,10969920,1
T Nagar,1812,100,2,1,5,No,440951,232724,12248640,1
T Nagar,1788,145,1,1,4,Yes,426755,156477,14225180,1
Velachery,1615,31,2,1,4,No,288694,128308,8019280,1
Anna Nagar,1755,85,1,1,4,No,308078,182565,11410310,1
Adyar,1296,25,2,2,4,No,338320,49753,9950600,1
KK Nagar,1554,18,2,1,4,Yes,479055,229547,9980320,1
Anna Nagar,1737,71,1,1,4,Yes,385905,214392,14292780,1
Karapakkam,785,116,1,1,2,Yes,207104,86293,5752875,1
Karapakkam,1678,70,2,2,4,Yes,475330,202015,11883250,1
KK Nagar,2360,171,4,2,6,Yes,693566,495405,19816180,1
KK Nagar,1464,2,2,1,4,Yes,394575,131525,9394640,1
KK Nagar,1632,156,2,1,4,Yes,514815,262661,10506420,1
Velachery,1755,103,2,1,4,Yes,332987,61340,8762820,1
Velachery,1556,105,2,1,4,No,289791,130873,9348100,1
Adyar,1170,120,1,1,3,No,337985,18269,9134740,1
Adyar,901,106,1,1,3,No,267514,84076,7643255,1
Karapakkam,1160,184,1,1,3,Yes,426540,222156,8886250,1
Karapakkam,1570,170,2,2,4,Yes,243466,128140,6407000,1
Karapakkam,1476,167,2,2,4,No,576800,126896,11536000,1
Karapakkam,586,190,1,1,2,Yes,255984,85328,5333000,1
Karapakkam,1059,110,1,1,3,Yes,306121,188382,7849250,1
T Nagar,1712,1,1,1,4,Yes,372538,262157,13797720,1
Adyar,847,7,1,1,3,No,284707,14985,7492300,1
Karapakkam,1192,152,1,1,3,No,235059,101503,5342250,1
Velachery,1942,126,3,2,5,Yes,583655,324253,16212650,1
Karapakkam,557,105,1,1,2,Yes,183695,94203,4710125,1
Velachery,1728,123,2,1,4,Yes,461853,283071,14898480,1
Velachery,1798,23,2,1,4,Yes,511811,204725,17060380,1
Karapakkam,1497,24,2,2,4,Yes,311929,76249,6931750,1
Chrompet,1173,27,1,1,3,Yes,262285,24589,8196400,1
Anna Nagar,1640,198,1,1,4,Yes,495731,318684,17704670,1
KK Nagar,1747,82,2,1,4,Yes,377464,161770,10784680,1
Karapakkam,1342,183,2,2,4,Yes,287828,211074,9594250,1
T Nagar,2000,31,2,1,5,No,435100,95178,13596890,1
Velachery,1987,158,3,2,5,No,423940,167345,11156320,1
Karapakkam,1567,2,2,2,4,No,247228,193147,7725875,1
Karapakkam,1188,187,1,1,3,No,373141,186571,9819500,1
Adyar,737,12,1,1,2,No,123814,54169,3869180,1
Karapakkam,785,63,1,1,2,Yes,251663,93642,5852625,1
KK Nagar,2078,13,3,2,5,No,475144,106665,9696820,1
Adyar,647,45,1,1,2,Yes,373407,76596,9574550,1
Karapakkam,1171,111,1,1,3,Yes,256310,134258,6102625,1
KK Nagar,2435,124,4,2,6,Yes,850347,364434,20246360,1
Velachery,1805,29,3,2,5,Yes,643358,237027,16930470,1
Karapakkam,1145,38,1,1,3,No,264492,82654,5510250,1
Karapakkam,971,15,1,1,3,No,287342,156732,6530500,1
Karapakkam,1657,78,2,2,4,Yes,507356,223237,10147125,1
Velachery,1638,16,2,1,4,Yes,300883,116471,9705900,1
Adyar,1284,141,2,2,4,Yes,531547,225505,16107475,1
Adyar,1273,66,2,2,4,No,231002,96872,7451690,1
Chrompet,1185,188,1,1,3,Yes,264238,111793,10163000,1
T Nagar,1538,161,1,1,4,Yes,678193,368162,19376950,1
KK Nagar,1929,84,3,2,5,No,447655,81392,10173980,1
KK Nagar,1656,30,2,1,4,Yes,392764,163652,10910100,1
Adyar,1287,9,2,2,4,Yes,585531,135123,15013625,1
T Nagar,1749,118,1,1,4,No,374829,152274,11713410,1
Anna Nagar,1585,188,1,1,4,No,469335,104297,17382790,1
T Nagar,1962,180,2,1,5,Yes,412438,222082,15862990,1
KK Nagar,1425,106,2,1,4,No,303705,69418,8677280,1
Karapakkam,884,11,1,1,2,Yes,323018,132520,8282500,1
Chrompet,1052,159,1,1,3,No,261582,103048,7926740,1
T Nagar,1756,12,1,1,4,No,483743,133029,12093570,1
Karapakkam,523,148,1,1,2,Yes,295600,118240,7390000,1
Velachery,1524,33,2,1,4,Yes,431078,187906,11053290,1
T Nagar,1949,137,2,1,5,Yes,448413,216974,14464930,1
Chrompet,1263,61,2,1,4,No,276562,127644,10637010,1
KK Nagar,1917,106,3,2,5,Yes,342425,276149,11045960,1
KK Nagar,1401,100,2,1,4,No,370510,148204,7410200,1
Chrompet,723,8,1,1,2,No,242084,77813,8645860,1
T Nagar,1660,156,1,1,4,No,551420,249028,17787740,1
Chrompet,895,191,1,1,3,Yes,255443,93662,8514750,1
Anna Nagar,1889,160,2,1,5,Yes,387549,83046,13841050,1
Chrompet,1199,187,1,1,3,No,229015,27482,9160580,1
Karapakkam,782,95,1,1,2,Yes,319575,132507,7794500,1
Anna Nagar,1571,124,1,1,4,Yes,388396,64733,12946530,1
KK Nagar,1848,178,3,2,5,Yes,540032,381199,15883280,1
Chrompet,1131,64,1,1,3,Yes,292600,121076,10089670,1
Karapakkam,1062,15,1,1,3,Yes,170744,112051,5335750,1
KK Nagar,1983,148,3,2,5,Yes,485075,254664,12126880,1
Velachery,1572,1,2,1,4,No,285791,65324,8165450,1
Anna Nagar,1535,149,1,1,4,No,298603,206725,11484740,1
T Nagar,1818,193,2,1,5,Yes,682767,154173,22024740,1
KK Nagar,1484,54,2,1,4,Yes,302902,224733,9771020,1
KK Nagar,2189,60,3,2,5,No,470803,253509,12071880,1
Chrompet,1203,171,2,1,4,No,426543,219734,12925550,1
KK Nagar,1610,140,2,1,4,Yes,677049,292362,15387480,1
Adyar,863,26,1,1,3,Yes,199110,59733,6637005,1
Karapakkam,985,61,1,1,3,No,238300,59575,7446875,1
Karapakkam,1623,47,2,2,4,No,489657,291463,11658500,1
Adyar,1019,153,1,1,3,No,213230,26654,6663435,1
Karapakkam,1575,4,2,2,4,Yes,455136,227568,9894250,1
Chrompet,802,161,1,1,3,No,262960,47811,7968490,1
T Nagar,1846,190,2,1,5,No,446535,173653,12403760,1
Chrompet,759,131,1,1,2,No,252628,57045,8149280,1
KK Nagar,2060,159,3,2,5,No,704554,352277,16012600,1
KK Nagar,1503,183,2,1,4,Yes,478205,244663,11121040,1
Velachery,1853,17,3,2,5,Yes,302791,75698,9462230,1
T Nagar,1739,16,1,1,4,Yes,675760,286686,20477590,1
Karapakkam,766,38,1,1,2,Yes,271421,105066,8755500,1
Chrompet,857,27,1,1,3,Yes,279562,127074,8471590,1
T Nagar,1887,108,2,1,5,No,325601,234433,13024030,1
Karapakkam,1502,98,2,2,4,No,361471,147875,8215250,1
Velachery,1568,109,2,1,4,No,235388,114513,6361850,1
Chrompet,918,190,1,1,3,No,327879,32788,10929300,1
Adyar,1289,70,2,2,4,No,512208,87807,14634500,1
KK Nagar,1941,34,3,2,5,No,550279,220112,12228420,1
Velachery,1730,146,2,1,4,Yes,409282,157416,10494410,1
Velachery,1513,128,2,1,4,Yes,494026,86454,12350640,1
Velachery,1762,142,2,1,4,Yes,308417,63498,9071080,1
Anna Nagar,1970,65,2,1,5,Yes,361076,112058,12450910,1
Velachery,1702,129,2,1,4,No,476800,207836,12225650,1
Velachery,1726,19,2,1,4,No,217748,122484,6804640,1
Chrompet,1243,164,2,1,4,Yes,433864,108466,15495150,1
Velachery,1550,53,2,1,4,Yes,435984,236677,12456680,1
KK Nagar,1830,123,3,2,5,Yes,636179,342558,16312280,1
Karapakkam,1435,76,2,2,4,Yes,341364,195065,9753250,1
Velachery,1729,105,2,1,4,Yes,350782,116927,10629750,1
T Nagar,1572,113,1,1,4,Yes,807919,207159,20715860,1
Chrompet,1145,74,1,1,3,Yes,386024,185864,14297200,1
Chrompet,1043,143,1,1,3,Yes,224570,66539,8317410,1
Karapakkam,1332,137,1,1,3,No,346983,140446,8261500,1
Karapakkam,608,41,1,1,2,Yes,229631,99300,6206250,1
Adyar,676,67,1,1,2,Yes,319218,16801,8400465,1
Velachery,1685,175,2,1,4,Yes,355338,177669,11104320,1
Adyar,658,175,1,1,2,No,237272,36503,6083885,1
Chrompet,1008,99,1,1,3,No,247412,106034,8836160,1
Anna Nagar,1924,36,2,1,5,No,463081,95340,13620040,1
KK Nagar,2112,77,3,2,5,No,804310,351886,16756460,1
Chrompet,917,177,1,1,3,Yes,321029,95120,11889950,1
Karapakkam,1353,20,2,2,4,Yes,291512,77165,8573875,1
Anna Nagar,1694,161,1,1,4,Yes,548144,154605,14054970,1
Anna Nagar,1625,192,1,1,4,Yes,696012,128213,18316110,1
Anna Nagar,1882,45,2,1,5,Yes,590474,221428,14761860,1
T Nagar,1924,80,2,1,5,Yes,575205,287602,22123260,1
Chrompet,894,89,1,1,3,No,337354,97942,10882400,1
Karapakkam,904,82,1,1,3,Yes,260794,89219,6863000,1
Adyar,1279,190,2,2,4,No,362338,137101,9792910,1
Velachery,1547,23,2,1,4,No,343080,201812,10090590,1
Karapakkam,626,193,1,1,2,No,248565,45655,5072750,1
T Nagar,1673,32,1,1,4,No,389002,194501,12156320,1
Chrompet,1296,65,2,1,4,Yes,354454,85928,10741020,1
KK Nagar,2194,73,3,2,5,No,722637,201666,16805520,1
KK Nagar,1678,200,2,1,4,No,475514,271722,13586120,1
Chrompet,702,190,1,1,2,Yes,216575,136362,8021300,1
Adyar,1067,55,1,1,3,Yes,270654,63683,7960405,1
Chrompet,980,90,1,1,3,Yes,308031,189558,11847350,1
KK Nagar,1989,185,3,2,5,Yes,407510,191770,11985600,1
Chrompet,1257,163,2,1,4,No,413654,110308,13788450,1
Chrompet,1069,55,1,1,3,Yes,302408,110883,10080280,1
Karapakkam,606,86,1,1,2,No,262590,85342,6564750,1
Karapakkam,1449,49,2,2,4,Yes,354460,203815,8861500,1
Karapakkam,1154,170,1,1,3,No,236400,70920,7880000,1
Adyar,927,72,1,1,3,No,469267,63414,12682895,1
Karapakkam,1613,151,2,2,4,Yes,335598,183053,10169625,1
Velachery,1851,106,3,2,5,Yes,442487,95673,11959100,1
Velachery,1511,128,2,1,4,No,405284,166270,10391900,1
KK Nagar,1765,6,2,1,4,No,345539,177439,9338880,1
Karapakkam,1238,63,1,1,3,Yes,430531,283244,11329750,1
